Dealer Code,Name,City,State,Pincode,Fuel Price,Latitude,Longitude
100107,A. R. DOSHI,RASHIN,Maharashtra,414403,91.26,18.43524,74.922858
100108,ADARSH AUTOMOBILES,PUNE,Maharashtra,411014,90.35,18.562112,73.924628
100110,"ALFA SERVICE STATION, NAIGAON",NAIGAON,Maharashtra,412201,90.24,18.488631,74.085941
100111,"ALFA SERVICE STATION, WAKDEWADI",PUNE,Maharashtra,411012,,18.5374,73.850731
100112,AMIT SERVICE CENTRE,BHOR,Maharashtra,412206,90.78,18.143793,73.853754
100113,ANANT OIL AGENCIES,RAHURI,Maharashtra,413705,90.88,19.388868,74.64786
100114,ASHISH PETROLEUM,MORGAON,Maharashtra,412304,90.74,18.274073,74.318008
100116,ASHOK PETROLEUM,YAWAT,Maharashtra,412214,90.4,18.474773,74.273983
100118,DESHMUKH PETROLEUM,PUNE,Maharashtra,411009,90.35,18.488571,73.857154
100119,"BHARAT PETROL DEPOT, NAVI PETH",PUNE,Maharashtra,411030,90.35,18.50784,73.843903
100120,"BHARAT PETROL DEPOT, TILAK TOAD",PUNE,Maharashtra,411030,90.35,18.502366,73.856892
100121,BHAGAVATIPUR VK SSK LTD.,KOLHAR,Maharashtra,413710,91.04,19.545573,74.532218
100124,RAJENDRA FUEL CENTRE,LONI KALBHOR,Maharashtra,412201,90.24,18.488943,74.035853
100125,D. G. MUTHA,SIRUR,Maharashtra,412210,90.93,18.828422,74.371085
100126,DATTA AUTOMOBILES,KHED SHIVAPUR,Maharashtra,412205,90.49,18.336566,73.853374
100127,"DEEPAK PETROLEUM, KURDUWADI",KURDUWADI,Maharashtra,413208,91.15,18.092348,75.413319
100130,FAMOUS AUTO CENTRE,PUNE,Maharashtra,411005,90.35,18.527304,73.842575
100132,HARIKISON AUTO SERVICE,AHMEDNAGAR,Maharashtra,414001,90.5,19.084855,74.735008
100133,HUTATMA RAJGURU SERVICES,CHANDOLI,Maharashtra,422201,90.66,18.843187,73.881303
100134,JAIHIND HIGHWAY SERVICE STATION,PUNE,Maharashtra,411019,90.41,18.638711,73.795854
100135,JANATA AUTOMOBILES,PUNE,Maharashtra,411002,90.35,18.515519,73.86773
100136,GHUMATKAR PETROLEUM,RAJGURUNAGAR,Maharashtra,410505,90.71,18.860443,73.890524
100137,"K.B. LAHOTI, SANGAMNER",SANGAMNER,Maharashtra,422101,91.31,19.56954,74.212357
100139,KANCHAN SERVICE STATION,PUNE,Maharashtra,411001,,18.515545,73.867699
100143,MANAKCHAND & SONS,AHMEDNAGAR,Maharashtra,414001,,19.097289,74.745947
100144,MEHROFI TRADERS,PUNE,Maharashtra,411016,,18.532671,73.842569
